study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	scientific_name	library_layout	library_selection	base_count	first_public	study_alias	fastq_bytes	fastq_md5	fastq_ftp	fastq_galaxy	sra_md5	sra_ftp	sample_title
PRJNA393315	SAMN07327559	SRS2339475	SRX2987328	SRR5808750	Homo sapiens	PAIRED	other	11632566120	2017-08-01	GSE100866	5229362304;5409342846	b4994778aa8c51ccf677a4ef69914295;6df1eb3543621ca3b0de9b7da8d84cb5	ftp.sra.ebi.ac.uk/vol1/fastq/SRR580/000/SRR5808750/SRR5808750_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR580/000/SRR5808750/SRR5808750_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR580/000/SRR5808750/SRR5808750_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR580/000/SRR5808750/SRR5808750_2.fastq.gz	ae6e20b8a092861044d7221c4d91199f	ftp.sra.ebi.ac.uk/vol1/srr/SRR580/000/SRR5808750	ADT: CBMC_8K_13AB_10x
PRJNA393315	SAMN07327558	SRS2339476	SRX2987329	SRR5808751	Homo sapiens	PAIRED	other	51363627672	2017-08-01	GSE100866					b849b8854812f214a0f6a92ed91eaf67	ftp.sra.ebi.ac.uk/vol1/srr/SRR580/001/SRR5808751	RNA: CBMC_8K_13AB_10x
PRJNA393315	SAMN07327557	SRS2339477	SRX2987330	SRR5808752	Homo sapiens	PAIRED	other	2378087600	2017-08-01	GSE100866	1055015071;1002387842	12b58f50833ba99af6b7fb3c0fcbd901;a39ee5e07a6b2f4ac7ee961d005cbd3d	ftp.sra.ebi.ac.uk/vol1/fastq/SRR580/002/SRR5808752/SRR5808752_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR580/002/SRR5808752/SRR5808752_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR580/002/SRR5808752/SRR5808752_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR580/002/SRR5808752/SRR5808752_2.fastq.gz	355f13f398f7880ee771978aad37cdfa	ftp.sra.ebi.ac.uk/vol1/srr/SRR580/002/SRR5808752	ADT: PBMC_vs_flow_10x
PRJNA393315	SAMN07327556	SRS2339478	SRX2987331	SRR5808753	Homo sapiens	PAIRED	other	11273400432	2017-08-01	GSE100866	4569044747;6746035733	cf53572827b7489d6989f240bf113f17;a6ba2c738d4385ff6b4b6c5e51a99528	ftp.sra.ebi.ac.uk/vol1/fastq/SRR580/003/SRR5808753/SRR5808753_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR580/003/SRR5808753/SRR5808753_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR580/003/SRR5808753/SRR5808753_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR580/003/SRR5808753/SRR5808753_2.fastq.gz	cb20aafb9aec7d126fe54affc0ce96f6	ftp.sra.ebi.ac.uk/vol1/srr/SRR580/003/SRR5808753	RNA: PBMC_vs_flow_10x
PRJNA393315	SAMN07327555	SRS2339479	SRX2987332	SRR5808754	Homo sapiens	PAIRED	other	804506304	2017-08-01	GSE100866	353602707;344170951	a99cec264373d1f03e3e504273c2ad7a;22cc377ba55b38c7c1b8359316f2c011	ftp.sra.ebi.ac.uk/vol1/fastq/SRR580/004/SRR5808754/SRR5808754_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR580/004/SRR5808754/SRR5808754_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR580/004/SRR5808754/SRR5808754_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR580/004/SRR5808754/SRR5808754_2.fastq.gz	da021ac6ee910469fb9257915fff2e9f	ftp.sra.ebi.ac.uk/vol1/srr/SRR580/004/SRR5808754	ADT: CD8_off_Dropseq
PRJNA393315	SAMN07327554	SRS2339481	SRX2987333	SRR5808755	Homo sapiens	PAIRED	other	2952213656	2017-08-01	GSE100866	1266733266;1792295150	6617bcf790633bce83e129adaefc52b2;11e395505be95cfd42d4ae28e50cadf0	ftp.sra.ebi.ac.uk/vol1/fastq/SRR580/005/SRR5808755/SRR5808755_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR580/005/SRR5808755/SRR5808755_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR580/005/SRR5808755/SRR5808755_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR580/005/SRR5808755/SRR5808755_2.fastq.gz	ec69a3d5b84652ea6958707424446c34	ftp.sra.ebi.ac.uk/vol1/srr/SRR580/005/SRR5808755	RNA: CD8_off_Dropseq
PRJNA393315	SAMN07327553	SRS2339480	SRX2987334	SRR5808756	Homo sapiens	PAIRED	other	754289928	2017-08-01	GSE100866	333812404;316206281	508931b2c37a41898cae017fc77119ef;01dd5862b24df24287b39adfab495c00	ftp.sra.ebi.ac.uk/vol1/fastq/SRR580/006/SRR5808756/SRR5808756_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR580/006/SRR5808756/SRR5808756_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR580/006/SRR5808756/SRR5808756_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR580/006/SRR5808756/SRR5808756_2.fastq.gz	919bf0df477365d5ebd2865c2a5c68b3	ftp.sra.ebi.ac.uk/vol1/srr/SRR580/006/SRR5808756	ADT: CD8_intermediate_Dropseq
PRJNA393315	SAMN07327552	SRS2339482	SRX2987335	SRR5808757	Homo sapiens	PAIRED	other	3374563416	2017-08-01	GSE100866	1431385978;2061502083	b7c15e6eefa2bf0f7866e38011c5bf80;141cefa6c6ccb25021b46b033df7d174	ftp.sra.ebi.ac.uk/vol1/fastq/SRR580/007/SRR5808757/SRR5808757_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR580/007/SRR5808757/SRR5808757_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR580/007/SRR5808757/SRR5808757_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR580/007/SRR5808757/SRR5808757_2.fastq.gz	2ba234ff9b69219c67a7c0799b46e5ff	ftp.sra.ebi.ac.uk/vol1/srr/SRR580/007/SRR5808757	RNA: CD8_intermediate_Dropseq
PRJNA393315	SAMN07327551	SRS2339484	SRX2987336	SRR5808758	Homo sapiens	PAIRED	other	731471160	2017-08-01	GSE100866	319896113;307974752	5b2e93c7cc67e4a1ec07dc6425e823fb;cc37b3c65c09fcb1bcd9280614f20c5c	ftp.sra.ebi.ac.uk/vol1/fastq/SRR580/008/SRR5808758/SRR5808758_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR580/008/SRR5808758/SRR5808758_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR580/008/SRR5808758/SRR5808758_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR580/008/SRR5808758/SRR5808758_2.fastq.gz	3c8a58002d86c9b82a038ffa1e7d0033	ftp.sra.ebi.ac.uk/vol1/srr/SRR580/008/SRR5808758	ADT: CD8_low_Dropseq
PRJNA393315	SAMN07327550	SRS2339483	SRX2987337	SRR5808759	Homo sapiens	PAIRED	other	3000114320	2017-08-01	GSE100866	1285368383;1768607900	e77cd987b645440e3bb4d1e91fbd00dc;9e2af832a824d20aa2ab9578c20ce288	ftp.sra.ebi.ac.uk/vol1/fastq/SRR580/009/SRR5808759/SRR5808759_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR580/009/SRR5808759/SRR5808759_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR580/009/SRR5808759/SRR5808759_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR580/009/SRR5808759/SRR5808759_2.fastq.gz	05f47d7bec62c86f1535e24f32190bd6	ftp.sra.ebi.ac.uk/vol1/srr/SRR580/009/SRR5808759	RNA: CD8_low_Dropseq
